,battles,wins,survived,win_rate,survival_rate,contribution_score,name,role,elo_rating,rank
Sun,225225,150074,113711,0.6663292263292263,0.5048773448773449,0.7120143806126722,Sun,Warrior,1579.4010932320668,1
Goat,225225,132686,93113,0.5891264291264291,0.4134221334221334,0.6454404736561106,Goat,Archer,1063.4210776640036,2
Emron,225225,131619,102083,0.5843889443889444,0.45324897324897323,0.6799918266797669,Emron,Warrior,1072.846395737429,3
Stone,225225,131162,104044,0.5823598623598624,0.46195582195582197,0.6878039533814835,Stone,Rogue,798.1836433211312,4
Jinxx,225225,128866,86083,0.5721656121656121,0.3822089022089022,0.6200847926424882,Jinxx,Mage,1345.4839767925828,5
Akame,225225,128135,98166,0.5689199689199689,0.43585747585747586,0.6675169166018661,Akame,Warrior,991.0116228394996,6
Beastie,225225,127535,58694,0.5662559662559663,0.2606016206016206,0.5132373648663295,Beastie,Cleric,779.6775731759609,7
Moon,225225,118310,54730,0.5252969252969253,0.243001443001443,0.493947592054261,Moon,Cleric,1162.70768633795,8
Ghost,225225,116818,89867,0.5186724386724386,0.399009879009879,0.6439815650877302,Ghost,Rogue,738.1385690099868,9
Fury,225225,106169,69819,0.4713908313908314,0.30999666999666997,0.5645060854766135,Fury,Archer,864.005802353431,10
Galaxy,225225,94765,60407,0.42075702075702076,0.2682073482073482,0.529098501936575,Galaxy,Archer,815.276445587289,11
Gold,225225,94195,56668,0.41822621822621825,0.2516061716061716,0.509914637856673,Gold,Mage,1184.6186052717808,12
Lotus,225225,89191,65398,0.396008436008436,0.2903674103674104,0.564621926068933,Lotus,Rogue,840.368536819976,13
Shortie,225225,88963,55571,0.394996114996115,0.24673548673548673,0.5098245303013578,Shortie,Mage,950.3809055521102,14
Peachy,225225,88086,53799,0.3911022311022311,0.23886779886779888,0.5009288146179366,Peachy,Mage,1060.7239652683365,15
Night,225225,75226,51431,0.334003774003774,0.22835386835386837,0.5088451326882188,Night,Rogue,753.7541010364698,16
